Item Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fiber (g),Sodium (mg)
hot tea (garam chai),16.14,2.58,0.39,0.53,0.0,3.12
instant coffee,23.16,3.65,0.64,0.75,0.0,4.92
espreso coffee,51.54,6.62,1.75,2.14,0.0,13.98
iced tea,10.34,2.7,0.03,0.01,0.0,0.23
raw mango drink (aam panna),35.92,9.05,0.16,0.03,0.61,79.82
fruit punch (with fresh juices),36.12,9.38,0.14,0.03,0.06,2.63
fruit punch (with squashes),23.13,5.99,0.07,0.02,0.17,2.26
lemonade,20.8,5.48,0.03,0.01,0.02,28.52
lem-o-gin,21.52,5.55,0.08,0.03,0.13,28.13
cumin infused water (jeere/zeere ka pani),9.09,1.86,0.17,0.11,0.46,189.6
coco pine cooler,32.75,5.72,0.56,1.0,0.26,23.2
summer cooler,22.43,5.43,0.37,0.04,0.2,1.57
hot cocoa,90.1,9.23,3.36,4.56,0.0,24.2
cold coffee with ice cream,67.85,11.24,1.57,2.11,0.01,13.84
banana milkshake (kele milkshake),65.31,9.15,1.84,2.37,0.26,13.61
mango milkshake (aam milkshake),56.9,7.23,1.73,2.35,0.26,13.27
pineapple milkshake (ananas milkshake),55.72,7.62,1.66,2.23,0.0,14.05
orange milkshake (narangi milkshake),57.42,7.11,1.86,2.52,0.0,14.63
egg nog,97.14,8.15,4.78,5.11,0.02,40.65
sweet lassi (meethi lassi),35.66,6.51,1.29,0.68,0.0,18.31
lassi (salted),18.84,1.86,1.35,0.72,0.02,65.4
cheese and chilli sandwich,218.11,27.4,6.8,9.78,2.08,437.5
egg sandwich (ande ka sandwich),285.96,29.16,8.69,15.8,1.88,461.67
cucumber sandwich (kheere ka sandwich),188.6,25.77,4.8,8.0,2.45,362.64
cheese and pineapple sandwich (cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,2.33,571.96
cheese and tomato sandwich (cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,1.97,549.71
chicken sandwich,253.27,25.38,13.12,11.75,1.64,389.67
peanut and tomato sandwich (moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,4.03,364.99
rainbow sandwich,272.75,34.26,7.75,12.54,2.1,612.49
club sandwich,235.32,18.51,7.31,15.12,1.81,461.66
vegetarian club sandwich,198.33,19.68,5.45,11.33,2.06,305.36
pin wheel sandwich,311.52,14.0,8.77,24.93,0.93,374.39
carrot apple sandwich (gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,3.66,302.88
salami sandwich,255.59,21.54,8.7,15.51,1.97,662.75
vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,342.7
egg and tomato sandwich (ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,1.77,423.26
sweet open sandwich,244.25,39.24,4.99,8.15,2.36,205.27
mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.28,456.57
cheese and tomato sandwich (toasted) (cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,1.78,457.94
pea potato sandwich (toasted) (matar aloo ka sandwich),164.9,25.17,4.6,5.43,2.89,262.63
paneer pea sandwich (toasted) (paneer matar ka sandwich),249.56,24.05,12.4,11.98,2.12,268.9
chicken sandwich (toasted),167.37,18.82,12.08,5.32,1.64,327.55
pea keema sandwich (toasted) (matar aur keema ka sandwich),171.78,20.26,11.06,5.61,2.45,290.07
classic club sandwich,200.83,18.49,6.74,11.56,1.62,277.49
sesame toast,495.19,11.15,1.9,49.38,1.32,128.78
cracked wheat porridge (meetha daliya),81.57,8.87,2.64,4.08,0.62,15.89
semolina porridge (suji/rava daliya),100.89,12.39,3.75,4.08,0.7,23.21
oatmeal porridge,72.85,8.77,2.6,3.22,0.39,16.14
cornflakes with milk,117.33,14.95,3.59,5.12,0.78,26.55
rice flakes (chiwda/aval),112.44,15.57,3.62,3.99,0.37,22.4
wheat flakes,112.44,15.57,3.62,3.99,0.37,22.4
murmura (puffed rice),113.32,15.67,3.62,4.04,0.28,22.52
puffed wheat (murmure/moori),113.32,15.67,3.62,4.04,0.28,22.52
boiled egg (ubla anda),45.35,0.12,4.43,3.04,0.11,170.94
fried egg,223.67,0.31,11.59,19.62,0.29,446.96
poached egg,123.87,0.37,11.98,8.19,0.3,1163.07
scrambled egg (ande ki bhurji),155.97,1.35,10.29,12.21,0.24,374.66
